iter	Logloss
0	0.6893266042
1	0.6846811771
2	0.6814717452
3	0.6761874358
4	0.6731245518
5	0.6695777575
6	0.6658475399
7	0.6611058712
8	0.6571163734
9	0.6533633073
10	0.6494472424
11	0.6456403335
12	0.6420938571
13	0.6384890477
14	0.634931167
15	0.631443421
16	0.6277997494
17	0.6244413058
18	0.6205046177
19	0.617063125
20	0.6127778689
21	0.6103321314
22	0.6069972515
23	0.6042813857
24	0.600531896
25	0.5973683596
26	0.5934025447
27	0.5900917848
28	0.5882372061
29	0.5849054654
30	0.5811767975
31	0.5777279536
32	0.5744263331
33	0.5713531176
34	0.5686639547
35	0.5664816697
36	0.5634670258
37	0.5609579086
38	0.5585093498
39	0.5559125741
40	0.5531419913
41	0.5502346357
42	0.5475267967
43	0.5447832743
44	0.5421934128
45	0.5391701063
46	0.536340634
47	0.5331336657
48	0.5315936804
49	0.5288703839
50	0.5266693433
51	0.5240585407
52	0.5210874081
53	0.5182829301
54	0.5148804188
55	0.5121861299
56	0.5097471873
57	0.5070482492
58	0.504289945
59	0.5026741823
60	0.5002913475
61	0.4978770812
62	0.4956229528
63	0.4929067294
64	0.4911643664
65	0.4894235929
66	0.4870789846
67	0.4844996134
68	0.4825599988
69	0.4800414642
70	0.4778352578
71	0.4758945306
72	0.4741676648
73	0.4725842476
74	0.4699551264
75	0.4677368005
76	0.4655598799
77	0.4635945559
78	0.4618051449
79	0.45951581
80	0.4572184086
81	0.4546031157
82	0.4526064793
83	0.4506956339
84	0.4493842125
85	0.4474262794
86	0.4459504286
87	0.4441448053
88	0.4421664874
89	0.4403258165
90	0.4383802414
91	0.4366426468
92	0.4350671768
93	0.4334433079
94	0.4322393735
95	0.4300910234
96	0.4286548297
97	0.4272396962
98	0.4257675012
99	0.4237240553
100	0.421916008
101	0.4205994209
102	0.4188718001
103	0.4174323479
104	0.4154169559
105	0.4138742685
106	0.4120628039
107	0.4108202457
108	0.4093442758
109	0.4075517654
110	0.406009078
111	0.4043095112
112	0.4027064244
113	0.4013589223
114	0.3994341691
115	0.3982462883
116	0.3970205784
117	0.3952525854
118	0.3943849405
119	0.3927609126
120	0.3911032677
121	0.3897729715
122	0.3880623976
123	0.3863195578
124	0.3848881324
125	0.3835221132
126	0.3820259968
127	0.3807666302
128	0.3791759809
129	0.3782647451
130	0.3765844504
131	0.3752573729
132	0.3738915523
133	0.3722510735
134	0.3707125187
135	0.3692206542
136	0.3680481911
137	0.3668037256
138	0.3651340803
139	0.3638840516
140	0.3626302481
141	0.3617051442
142	0.3604439894
143	0.3592985471
144	0.3580245574
145	0.3567597071
146	0.3556738695
147	0.3543269237
148	0.3529733022
149	0.3517295122
150	0.3504261971
151	0.3497817914
152	0.3489816586
153	0.3475809097
154	0.3464533488
155	0.3451711337
156	0.3441637357
157	0.3432015181
158	0.3419415156
159	0.3409475883
160	0.3397055467
161	0.3389532566
162	0.3377816677
163	0.3369446596
164	0.336205403
165	0.3350134691
166	0.3339313666
167	0.3325647314
168	0.3314578533
169	0.3304502567
170	0.3294659058
171	0.328611056
172	0.327901125
173	0.3270051479
174	0.3258178234
175	0.3247714837
176	0.3241262833
177	0.3233525157
178	0.3224908113
179	0.3214655916
180	0.3207699656
181	0.3197837273
182	0.3188715378
183	0.3174781799
184	0.3167014917
185	0.3158827623
186	0.3151850104
187	0.3140882452
188	0.313050429
189	0.3120836616
190	0.3114636739
191	0.3107983271
192	0.3099794388
193	0.3092330496
194	0.3083626827
195	0.3077614109
196	0.3068039417
197	0.3057874044
198	0.3051907619
199	0.3044388096
200	0.3034271399
201	0.3025572697
202	0.3013808727
203	0.3006423712
204	0.2999890645
205	0.2993000348
206	0.2987180551
207	0.2978752851
208	0.296824038
209	0.2955614726
210	0.2944743832
211	0.2936138709
212	0.292996943
213	0.2924372753
214	0.2916538318
215	0.2907859683
216	0.2898935477
217	0.2890042861
218	0.2883063555
219	0.2873028914
220	0.2867225806
221	0.2859378656
222	0.2852191329
223	0.2845412095
224	0.2841183146
225	0.2835368514
226	0.2827604214
227	0.2820901076
228	0.2813947201
229	0.2806147337
230	0.2798178991
231	0.2789147298
232	0.2784121831
233	0.2776578267
234	0.2772172093
235	0.2765707374
236	0.275688827
237	0.2749708295
238	0.2742835681
239	0.2735438347
240	0.2731339534
241	0.2725071112
242	0.2719146013
243	0.2711975574
244	0.2706235051
245	0.2700846195
246	0.2694811821
247	0.2687035402
248	0.2679985364
249	0.2674296697
250	0.2667378585
251	0.2660301725
252	0.2654248675
253	0.264923811
254	0.2645402352
255	0.263944308
256	0.2635300159
257	0.2629685402
258	0.2624072631
259	0.2618957758
260	0.2614777486
261	0.2607585192
262	0.2604183753
263	0.2600141565
264	0.2591963013
265	0.2586845954
266	0.2581311067
267	0.2575868964
268	0.2567294439
269	0.2561141253
270	0.2555608352
271	0.2549806237
272	0.2543997765
273	0.254116257
274	0.2535861333
275	0.253023843
276	0.2525969346
277	0.2519812385
278	0.2512870232
279	0.2507656415
280	0.2503208518
281	0.2496132453
282	0.249243021
283	0.2486658891
284	0.2482563853
285	0.2476418217
286	0.2470537225
287	0.2466700276
288	0.2460874716
289	0.2452999552
290	0.2447828054
291	0.2442955176
292	0.2438009183
293	0.2432839274
294	0.2428433498
295	0.242276152
296	0.2417310278
297	0.2410494884
298	0.2406168977
299	0.2402433157
300	0.2396797538
301	0.239273111
302	0.2386286855
303	0.2380978862
304	0.2374162873
305	0.2369682391
306	0.2363803387
307	0.2360053062
308	0.2356079419
309	0.235191981
310	0.2344875534
311	0.2339898944
312	0.2333005071
313	0.2329467535
314	0.2324990034
315	0.2321844498
316	0.2317160169
317	0.2311103543
318	0.2304229935
319	0.2298732996
320	0.2294352055
321	0.2291122079
322	0.2286354701
323	0.2280116876
324	0.2276500463
325	0.2270568411
326	0.2266140381
327	0.2259221872
328	0.2254475753
329	0.2249453068
330	0.2245448033
331	0.224028786
332	0.2235760689
333	0.2230572303
334	0.222326239
335	0.2218946815
336	0.2215146621
337	0.2213277419
338	0.2208674153
339	0.2204845746
340	0.2200120091
341	0.2197082043
342	0.2190777858
343	0.2186922232
344	0.2183467547
345	0.217832009
346	0.2175197204
347	0.2170078158
348	0.2164497773
349	0.2160706719
350	0.215598623
351	0.2151170572
352	0.2148472865
353	0.2143608928
354	0.2140801946
355	0.2137159109
356	0.2133127252
357	0.2128864328
358	0.2125003934
359	0.21217225
360	0.211779356
361	0.2113026381
362	0.210677584
363	0.2103444934
364	0.209931771
365	0.2095524867
366	0.2091731826
367	0.2089044849
368	0.2085413933
369	0.2081057231
370	0.2077718973
371	0.2073206504
372	0.2069113255
373	0.2065633535
374	0.2060968876
375	0.2056431174
376	0.2052806815
377	0.2048010627
378	0.2042655349
379	0.2038998604
380	0.2034756144
381	0.2032657464
382	0.2027173638
383	0.202357014
384	0.2020677725
385	0.2017187476
386	0.2014077107
387	0.2008647124
388	0.2005356948
389	0.2003752788
390	0.199851195
391	0.1995489796
392	0.1990094781
393	0.1988768379
394	0.1984719833
395	0.1980864008
396	0.197783192
397	0.1974983017
398	0.1972603003
399	0.1970142126
400	0.1967668732
401	0.1964397232
402	0.1961261233
403	0.1958175302
404	0.1953728795
405	0.1950488488
406	0.1945400635
407	0.1940992475
408	0.1937993169
409	0.1933740576
410	0.1930532654
411	0.1925963362
412	0.1922028065
413	0.191855669
414	0.1914572716
415	0.1912897031
416	0.1908721924
417	0.1905996601
418	0.1902667681
419	0.1901240349
420	0.1898203691
421	0.189422071
422	0.1891652346
423	0.1888079246
424	0.1884809732
425	0.1881507039
426	0.1877077619
427	0.1875317494
428	0.1873286565
429	0.1870401303
430	0.1866531571
431	0.1864170631
432	0.1860755086
433	0.185675323
434	0.1854060491
435	0.1850995819
436	0.1847185294
437	0.1844157775
438	0.1841159463
439	0.1837960084
440	0.1834422747
441	0.183095177
442	0.1827299794
443	0.1825097799
444	0.1820821762
445	0.1818611224
446	0.1815672716
447	0.1812623342
448	0.1808705926
449	0.1806563735
450	0.1803356806
451	0.1800809701
452	0.1798454523
453	0.1795880198
454	0.1793869138
455	0.1790535649
456	0.1787203749
457	0.1782963673
458	0.1780098875
459	0.1777084668
460	0.1772989432
461	0.1770746112
462	0.1768000523
463	0.1765037378
