iter	Passed	Remaining
0	0	677
1	1	638
2	1	611
3	2	597
4	2	596
5	3	593
6	4	592
7	4	585
8	5	590
9	5	593
10	6	591
11	7	598
12	7	598
13	8	610
14	9	607
15	9	609
16	10	611
17	11	615
18	11	617
19	12	614
20	13	611
21	13	606
22	14	604
23	14	604
24	15	603
25	16	601
26	16	600
27	17	600
28	17	600
29	18	600
30	19	600
31	19	600
32	20	597
33	20	596
34	21	595
35	22	592
36	22	592
37	23	591
38	23	588
39	24	585
40	24	584
41	25	582
42	26	579
43	26	576
44	27	575
45	27	574
46	28	573
47	28	573
48	29	571
49	30	571
50	30	570
51	31	569
52	31	568
53	32	567
54	32	566
55	33	565
56	34	564
57	34	563
58	35	562
59	35	561
60	36	560
61	36	559
62	37	558
63	38	557
64	38	556
65	39	555
66	39	554
67	40	553
68	40	552
69	41	551
70	42	550
71	42	549
72	43	549
73	43	547
74	44	546
75	44	545
76	45	544
77	45	543
78	46	542
79	47	541
80	47	540
81	48	538
82	48	538
83	49	537
84	49	536
85	50	535
86	50	534
87	51	533
88	52	532
89	52	532
90	53	531
91	53	530
92	54	530
93	54	529
94	55	528
95	56	527
96	56	527
97	57	526
98	57	525
99	58	524
100	58	523
101	59	522
102	59	522
103	60	521
104	61	521
105	61	520
106	62	520
107	62	519
108	63	518
109	63	517
110	64	517
111	65	516
112	65	514
113	66	513
114	66	513
115	67	513
116	67	512
117	68	511
118	69	510
119	69	508
120	69	508
121	70	507
122	71	506
123	71	505
124	72	505
125	72	504
126	73	503
127	73	502
128	74	502
129	74	501
130	75	500
131	75	499
132	76	499
133	77	498
134	77	497
135	78	496
136	78	496
137	79	495
138	79	495
139	80	494
140	81	493
141	81	493
142	82	492
143	82	491
144	83	490
145	83	490
146	84	489
147	84	489
148	85	488
149	86	488
150	86	487
151	87	487
152	87	486
153	88	485
154	89	485
155	89	484
156	90	484
157	90	483
158	91	483
159	91	482
160	92	481
161	93	481
162	93	480
163	94	480
164	94	479
165	95	478
166	95	477
167	96	477
168	96	475
169	97	474
170	97	474
171	98	473
172	98	473
173	99	472
174	100	472
175	100	471
176	101	470
177	101	470
178	102	469
179	102	468
180	103	467
181	104	467
182	104	466
183	105	466
184	105	465
185	106	464
186	106	464
187	107	463
188	107	463
189	108	462
190	109	461
191	109	461
192	110	460
193	110	460
194	111	459
195	111	458
196	112	458
197	112	457
198	113	457
199	114	456
200	114	456
201	115	455
202	115	455
203	116	454
204	117	454
205	117	453
206	118	453
207	118	452
208	119	452
209	119	451
210	120	450
211	121	450
212	121	449
213	122	448
214	122	447
215	123	447
216	123	446
217	124	446
218	124	445
219	125	444
220	126	444
221	126	443
222	127	442
223	127	442
224	128	441
225	128	440
226	129	440
227	129	439
228	130	438
229	130	438
230	131	437
231	131	436
232	132	436
233	133	435
234	133	434
235	134	434
236	134	433
237	135	433
238	135	432
239	136	432
240	137	431
241	137	431
242	138	430
243	138	430
244	139	429
245	139	429
246	140	428
247	141	428
248	141	427
249	142	426
250	142	426
251	143	425
252	144	425
253	144	424
254	145	424
255	145	423
256	146	423
257	146	422
258	147	421
259	148	421
260	148	420
261	149	420
262	149	419
263	150	418
264	150	418
265	151	417
266	151	417
267	152	416
268	153	415
269	153	415
270	154	414
271	154	413
272	155	413
273	155	412
274	156	412
275	156	411
276	157	410
277	158	410
278	158	409
279	159	409
280	159	408
281	160	408
282	160	407
283	161	407
284	161	406
285	162	405
286	163	405
287	163	404
288	164	404
289	164	403
290	165	403
291	166	402
292	166	402
293	167	401
294	167	400
295	168	400
296	168	399
297	169	399
298	169	398
299	170	397
300	171	397
301	171	396
302	172	396
303	172	395
304	173	394
305	173	394
306	174	393
307	174	392
308	175	392
309	175	391
310	176	390
311	176	390
312	177	389
313	178	389
314	178	388
315	179	387
316	179	387
317	180	386
318	180	386
319	181	385
320	182	385
321	182	384
322	183	383
323	183	383
324	184	382
325	184	382
326	185	381
327	186	381
328	186	380
329	187	379
330	187	379
331	188	378
332	188	378
333	189	377
334	189	377
335	190	376
336	191	375
337	191	375
338	192	374
339	192	374
340	193	373
341	193	372
342	194	372
343	195	371
344	195	371
345	196	370
346	196	370
347	197	369
348	197	369
349	198	368
350	198	367
351	199	367
352	200	366
353	200	366
354	201	365
355	201	365
356	202	364
357	202	363
358	203	363
359	203	362
360	204	362
361	205	361
362	205	360
363	206	360
364	206	359
365	207	359
366	207	358
367	208	358
368	209	357
369	209	356
370	210	356
371	210	355
372	211	355
373	211	354
374	212	354
375	213	353
376	213	353
377	214	352
378	214	352
379	215	351
380	215	350
381	216	350
382	217	349
383	217	349
384	218	348
385	218	348
386	219	347
387	219	346
388	220	346
389	221	345
390	221	345
391	222	344
392	222	344
393	223	343
394	223	342
395	224	342
396	225	341
397	225	341
398	226	340
399	226	340
400	227	339
401	227	339
402	228	338
403	228	337
404	229	337
405	230	336
406	230	336
407	231	335
408	231	334
409	232	334
410	232	333
411	233	333
412	233	332
413	234	331
414	234	331
415	235	330
416	236	330
417	236	329
418	237	328
419	237	328
420	238	327
421	238	327
422	239	326
423	240	326
424	240	325
425	241	324
426	241	324
427	242	323
428	242	323
429	243	322
430	243	322
431	244	321
432	245	320
433	245	320
434	246	319
435	246	319
436	247	318
437	247	317
438	248	317
439	248	316
440	249	315
441	249	315
442	250	314
443	250	314
444	251	313
445	251	313
446	252	312
447	253	311
448	253	311
449	254	310
450	254	309
451	255	309
452	255	308
453	256	308
454	256	307
455	257	307
456	258	306
457	258	306
458	259	305
459	259	305
460	260	304
461	261	304
462	261	303
463	262	302
464	262	302
465	263	301
466	263	301
467	264	300
468	265	300
469	265	299
470	266	298
471	266	298
472	267	297
473	267	297
474	268	296
475	269	296
476	269	295
477	270	295
478	270	294
479	271	293
480	271	293
481	272	292
482	272	292
483	273	291
484	273	290
485	274	290
486	275	289
487	275	289
488	276	288
489	276	288
490	277	287
491	277	287
492	278	286
493	279	285
494	279	285
495	280	284
496	280	284
497	281	283
498	282	283
499	282	282
500	283	282
501	283	281
502	284	280
503	284	280
504	285	279
505	286	279
506	286	278
507	287	278
508	287	277
509	288	276
510	288	276
511	289	275
512	289	275
513	290	274
514	291	274
515	291	273
516	292	273
517	292	272
518	293	271
519	294	271
520	294	270
521	295	270
522	295	269
523	296	268
524	296	268
525	297	267
526	297	267
527	298	266
528	298	266
529	299	265
530	299	264
531	300	264
532	301	263
533	301	263
534	302	262
535	302	262
536	303	261
537	304	261
538	304	260
539	305	259
540	305	259
541	306	258
542	306	258
543	307	257
544	307	256
545	308	256
546	308	255
547	309	255
548	310	254
549	310	254
550	311	253
551	311	252
552	312	252
553	312	251
554	313	251
555	313	250
556	314	250
557	314	249
558	315	248
559	316	248
560	316	247
561	317	247
562	317	246
563	318	246
564	318	245
565	319	244
566	319	244
567	320	243
568	320	243
569	321	242
570	321	241
571	322	241
572	323	240
573	323	240
574	324	239
575	324	238
576	325	238
577	325	237
578	326	237
579	326	236
580	327	236
581	327	235
582	328	234
583	329	234
584	329	233
585	329	233
586	330	232
587	331	231
588	331	231
589	332	230
590	332	230
591	333	229
592	333	229
593	334	228
594	334	227
595	335	227
596	336	226
597	336	226
598	336	225
599	337	225
600	338	224
601	338	223
602	339	223
603	339	222
604	340	222
605	340	221
606	341	221
607	342	220
608	342	220
609	343	219
610	343	218
611	344	218
612	344	217
613	345	217
614	346	216
615	346	216
616	347	215
617	347	214
618	348	214
619	348	213
620	349	213
621	350	212
622	350	212
623	351	211
624	351	211
625	352	210
626	352	209
627	353	209
628	354	208
629	354	208
630	355	207
631	355	207
632	356	206
633	356	206
634	357	205
635	358	204
636	358	204
637	359	203
638	359	203
639	360	202
640	360	202
641	361	201
642	362	201
643	362	200
644	363	199
645	363	199
646	364	198
647	364	198
648	365	197
649	366	197
650	366	196
651	367	195
652	367	195
653	368	194
654	368	194
655	369	193
656	369	193
657	370	192
658	371	192
659	371	191
660	372	190
661	372	190
662	373	189
663	373	189
664	374	188
665	374	188
666	375	187
667	376	186
668	376	186
669	377	185
670	377	185
671	378	184
672	378	184
673	379	183
674	379	182
675	380	182
676	381	181
677	381	181
678	382	180
679	382	180
680	383	179
681	383	178
682	384	178
683	384	177
684	385	177
685	385	176
686	386	176
687	387	175
688	387	174
689	388	174
690	388	173
691	389	173
692	389	172
693	390	172
694	390	171
695	391	170
696	391	170
697	392	169
698	393	169
699	393	168
700	394	168
701	394	167
702	395	166
703	395	166
704	396	165
705	396	165
706	397	164
707	397	164
708	398	163
709	399	162
710	399	162
711	400	161
712	400	161
713	401	160
714	401	160
715	402	159
716	402	159
717	403	158
718	403	157
719	404	157
720	405	156
721	405	156
722	406	155
723	406	155
724	407	154
725	407	153
726	408	153
727	408	152
728	409	152
729	410	151
730	410	151
731	411	150
732	411	149
733	412	149
734	412	148
735	413	148
736	414	147
737	414	147
738	415	146
739	415	146
740	416	145
741	416	144
742	417	144
743	418	143
744	418	143
745	419	142
746	419	142
747	420	141
748	420	141
749	421	140
750	421	139
751	422	139
752	423	138
753	423	138
754	424	137
755	424	137
756	425	136
757	425	135
758	426	135
759	427	134
760	427	134
761	428	133
762	428	133
763	429	132
764	429	132
765	430	131
766	431	130
767	431	130
768	432	129
769	432	129
770	433	128
771	433	128
772	434	127
773	435	127
774	435	126
775	436	125
776	436	125
777	437	124
778	437	124
779	438	123
780	439	123
781	439	122
782	440	121
783	440	121
784	441	120
785	441	120
786	442	119
787	442	119
788	443	118
789	443	118
790	444	117
791	445	116
792	445	116
793	446	115
794	446	115
795	447	114
796	447	114
797	448	113
798	448	112
799	449	112
800	450	111
801	450	111
802	451	110
803	451	110
804	452	109
805	452	109
806	453	108
807	453	107
808	454	107
809	454	106
810	455	106
811	456	105
812	456	105
813	457	104
814	457	103
815	458	103
816	459	102
817	459	102
818	460	101
819	460	101
820	461	100
821	461	100
822	462	99
823	463	98
824	463	98
825	464	97
826	464	97
827	465	96
828	465	96
829	466	95
830	467	94
831	467	94
832	468	93
833	468	93
834	469	92
835	470	92
836	470	91
837	471	91
838	471	90
839	472	89
840	472	89
841	473	88
842	474	88
843	474	87
844	475	87
845	475	86
846	476	86
847	476	85
848	477	84
849	478	84
850	478	83
851	479	83
852	479	82
853	480	82
854	481	81
855	481	81
856	482	80
857	482	79
858	483	79
859	483	78
860	484	78
861	484	77
862	485	77
863	486	76
864	486	75
865	487	75
866	487	74
867	488	74
868	488	73
869	489	73
870	490	72
871	490	72
872	491	71
873	491	70
874	492	70
875	492	69
876	493	69
877	494	68
878	494	68
879	495	67
880	496	67
881	496	66
882	497	65
883	497	65
884	498	64
885	498	64
886	499	63
887	500	63
888	500	62
889	501	61
890	501	61
891	502	60
892	502	60
893	503	59
894	504	59
895	504	58
896	505	58
897	505	57
898	506	56
899	507	56
900	507	55
901	508	55
902	509	54
903	509	54
904	510	53
905	510	53
906	511	52
907	512	51
908	512	51
909	513	50
910	513	50
911	514	49
912	514	49
913	515	48
914	515	47
915	516	47
916	517	46
917	517	46
918	518	45
919	518	45
920	519	44
921	519	43
922	520	43
923	521	42
924	521	42
925	522	41
926	522	41
927	523	40
928	523	40
929	524	39
930	525	38
931	525	38
932	526	37
933	526	37
934	527	36
935	528	36
936	528	35
937	529	34
938	529	34
939	530	33
940	530	33
941	531	32
942	532	32
943	532	31
944	533	31
945	533	30
946	534	29
947	535	29
948	535	28
949	536	28
950	536	27
951	537	27
952	537	26
953	538	25
954	539	25
955	539	24
956	540	24
957	540	23
958	541	23
959	542	22
960	542	22
961	543	21
962	543	20
963	544	20
964	544	19
965	545	19
966	546	18
967	546	18
968	547	17
969	547	16
970	548	16
971	549	15
972	549	15
973	550	14
974	550	14
975	551	13
976	551	12
977	552	12
978	553	11
979	553	11
980	554	10
981	554	10
982	555	9
983	555	9
984	556	8
985	556	7
986	557	7
987	558	6
988	558	6
989	559	5
990	559	5
991	560	4
992	560	3
993	561	3
994	562	2
995	562	2
996	563	1
997	563	1
998	564	0
999	564	0
